"Name","State","Runtime","Tags","model/subject_model/model_name","Created","model/pooler/layer_to_probe","mdl","compression","test/accuracy","test/mrr","test/trec_ndcg@10","test/trec_ndcg@20","test/trec_map","test/precision@10","test/precision@20"
"azure-fire-1012","finished","33093","layer:12, msm_sem_sim","bert-msm-passage","2022-04-02T15:32:28.000Z","12","39909.09375","3.3294949531555176","0.6316999793052673","","","","","",""
"rare-universe-1009","finished","22875","layer:11, msm_sem_sim","bert-msm-passage","2022-04-02T09:11:02.000Z","11","31303.796875","4.244760513305664","0.7134000062942505","","","","","",""
"worldly-music-1004","finished","19165","layer:10, msm_sem_sim","bert-msm-passage","2022-04-02T03:51:27.000Z","10","29586.939453125","4.4910736083984375","0.7289000153541565","","","","","",""
"gallant-haze-1002","finished","17435","layer:9, msm_sem_sim","bert-msm-passage","2022-04-01T23:00:40.000Z","9","29271.06640625","4.539538383483887","0.7339000105857849","","","","","",""
"apricot-tree-998","finished","16014","layer:8, msm_sem_sim","bert-msm-passage","2022-04-01T18:33:36.000Z","8","28921.240234375","4.594447612762451","0.7401000261306763","","","","","",""
"vibrant-shape-994","finished","13705","layer:7, msm_sem_sim","bert-msm-passage","2022-04-01T14:45:00.000Z","7","28443.494140625","4.67161750793457","0.7450000047683716","","","","","",""
"soft-capybara-991","finished","12219","layer:6, msm_sem_sim","bert-msm-passage","2022-04-01T11:21:10.000Z","6","28026.357421875","4.741148471832275","0.7440999746322632","","","","","",""
"major-bird-988","finished","8893","layer:5, msm_sem_sim","bert-msm-passage","2022-04-01T08:52:47.000Z","5","27702.5390625","4.796568393707275","0.7508999705314636","","","","","",""
"dark-breeze-985","finished","8030","layer:4, msm_sem_sim","bert-msm-passage","2022-04-01T06:38:29.000Z","4","27569.43359375","4.819726467132568","0.7488999962806702","","","","","",""
"youthful-voice-983","finished","9516","layer:3, msm_sem_sim","bert-msm-passage","2022-04-01T03:59:32.000Z","3","28492.400390625","4.663599014282227","0.7508999705314636","","","","","",""
"noble-yogurt-979","finished","7640","layer:2, msm_sem_sim","bert-msm-passage","2022-04-01T01:51:47.000Z","2","29162.064453125","4.556506156921387","0.7506999969482422","","","","","",""
"earthy-dream-976","finished","7858","layer:1, msm_sem_sim","bert-msm-passage","2022-03-31T23:40:38.000Z","1","30076.54296875","4.417965412139893","0.7397000193595886","","","","","",""
"eager-voice-972","finished","6267","layer:0, msm_sem_sim","bert-msm-passage","2022-03-31T21:55:47.000Z","0","32274.818359375","4.1170525550842285","0.7200000286102295","","","","","",""
